FolderSpeciesName,Kingdom,Class,Order,Family,Genus,Species,ScientificName,CommonName,Category
Gorsachius melanolophus,Animalia,Aves,Pelecaniformes,Ardeidae,Gorsachius,melanolophus,Gorsachius melanolophus,Malayan night heron,1
Halcyon smyrnensis,Animalia,Aves,Coraciiformes,Alcedinidae,Halcyoninae,smyrnensis,Halcyon smyrnensis,White-throated kingfisher,1
Ketupa ketupu,Animalia,Aves,Strigiformes,Strigidae,Ketupa,ketupu,Ketupa ketupu,Buffy fish owl,1
Lanius cristatus,Animalia,Aves,Passeriformes,Laniidae,Lanius,cristatus,Lanius cristatus,Brown shrike,1
Larvivora cyane,Animalia,Aves,Passeriformes,Muscicapidae,Larvivora,cyane,Larvivora cyane,Siberian blue robin,1
Lewinia striata,Animalia,Aves,Gruiformes,Rallidae,Lewinia,striata,Lewinia striata,Slaty-breasted rail,1
Lutrogale perspicillata,Animalia,Mammalia,Carnivora,Mustelidae,Lutrogale,perspicillata,Lutrogale perspicillata,Smooth-coated otter,1
Macaca fasciculairs,Animalia,Mammalia,Primates,Cercopithecidae,Macaca,fascicularis,Macaca fascicularis,Long-tailed macaque,1
Macaca fascicularis,Animalia,Mammalia,Primates,Cercopithecidae,Macaca,fascicularis,Macaca fascicularis,Long-tailed macaque,1
Macaca fascuiclaris,Animalia,Mammalia,Primates,Cercopithecidae,Macaca,fascicularis,Macaca fascicularis,Long-tailed macaque,1
Macaca fasicularis,Animalia,Mammalia,Primates,Cercopithecidae,Macaca,fascicularis,Macaca fascicularis,Long-tailed macaque,1
Manis javanica,Animalia,Mammalia,Pholidota,Manidae,Manis,javanica,Manis javanica,Sunda pangolin,1
Naja sumatrana,Animalia,Reptilia,Squamata,Elapidae,Naja,sumatrana,Naja sumatrana,Equatorial spitting cobra,1
Otus lempiji,Animalia,Aves,Strigiformes,Strigidae,Otus,lempiji,Otus lempiji,Sunda scops owl,1
Paradoxurus hermaphroditus,Animalia,Mammalia,Carnivora,Viverridae,Paradoxurus,musangus,Paradoxurus musangus,Asian palm civet,1
Paradoxurus musangus,Animalia,Mammalia,Carnivora,Viverridae,Paradoxurus,musangus,Paradoxurus musangus,Asian palm civet,1
Paradoxus musangus,Animalia,Mammalia,Carnivora,Viverridae,Paradoxurus,musangus,Paradoxurus musangus,Asian palm civet,1
Picus vitattus,Animalia,Aves,Piciformes,Picidae,Picus,vittatus,Picus vittatus,Laced woodpecker,1
Picus vittatus,Animalia,Aves,Piciformes,Picidae,Picus,vittatus,Picus vittatus,Laced woodpecker,1
Pitta moluccensis,Animalia,Aves,Passeriformes,Pittidae,Pitta,moluccensis,Pitta moluccensis,Blue-winged pitta,1
Pitta sp,Animalia,Aves,Passeriformes,Pittidae,Pitta,NA,Pitta spp.,Pitta spp.,1
Prionailurus bengalensis,Animalia,Aves,Carnivora,Felidae,Prionailurus,bengalensis,Prionailurus bengalensis,Leopard cat,1
Unidentified Pteropodidae,Animalia,Mammalia,Chiroptera,Pteropodidae,NA,NA,Pteropodidae spp.,Megabat spp.,1
Ptyas korros,Animalia,Mammalia,Squamata,Colubridae,Ptyas,korros,Ptyas korros,Indo-Chinese rat snake,1
Pycnonotus goaiver,Animalia,Aves,Passeriformes,Pycnonotidae,Pycnonotus,goiavier,Pycnonotus goiavier,Yellow-vented bulbul,1
Pycnonotus goiavier,Animalia,Aves,Passeriformes,Pycnonotidae,Pycnonotus,goiavier,Pycnonotus goiavier,Yellow-vented bulbul,1
Rallina fasciata,Animalia,Aves,Gruiformes,Rallidae,Rallina,fasciata,Rallina fasciata,Red-legged crake,1
Rattus norvegicus,Animalia,Mammalia,Rodentia,Muridae,Rattus,norvegicus,Rattus norvegicus,Brown rat,1
Rattus sp,Animalia,Mammalia,Rodentia,Muridae,Rattus,spp.,Rattus spp.,Rats spp.,1
Rattus sp.,Animalia,Mammalia,Rodentia,Muridae,Rattus,spp.,Rattus spp.,Rats spp.,1
Unidentified Munidae,Animalia,Mammalia,Rodentia,Muridae,Rattus,spp.,Rattus spp.,Rats spp.,1
Unidentified Muridae,Animalia,Mammalia,Rodentia,Muridae,Rattus,spp.,Rattus spp.,Rats spp.,1
Unidentified muridae,Animalia,Mammalia,Rodentia,Muridae,Rattus,spp.,Rattus spp.,Rats spp.,1
Rattus tanezumi,Animalia,Mammalia,Rodentia,Muridae,Rattus,tanezumi,Rattus tanezumi,Tanezumi rat,1
Ratus tanezumi,Animalia,Mammalia,Rodentia,Muridae,Rattus,tanezumi,Rattus tanezumi,Tanezumi rat,1
Rattus tiomanicus,Animalia,Mammalia,Rodentia,Muridae,Rattus,tiomanicus,Rattus tiomanicus,Malayan field rat,1
